MBER_SEQ_NO_VALUE, MESURE_SEQ_NO, CNTER_NM, AGRDE_FLAG_NM, MESURE_PLACE_FLAG_NM, MESURE_AGE_CO, INPT_FLAG_NM, CRTFC_FLAG_NM, MESURE_DE, SEXDSTN_FLAG_CD, MESURE_IEM_001_VALUE, MESURE_IEM_002_VALUE, MESURE_IEM_003_VALUE, MESURE_IEM_004_VALUE, MESURE_IEM_005_VALUE, MESURE_IEM_006_VALUE, MESURE_IEM_007_VALUE, MESURE_IEM_008_VALUE, MESURE_IEM_009_VALUE, MESURE_IEM_010_VALUE, MESURE_IEM_012_VALUE, MESURE_IEM_013_VALUE, MESURE_IEM_014_VALUE, MESURE_IEM_015_VALUE, MESURE_IEM_016_VALUE, MESURE_IEM_017_VALUE, MESURE_IEM_018_VALUE, MESURE_IEM_019_VALUE, MESURE_IEM_020_VALUE, MESURE_IEM_021_VALUE, MESURE_IEM_022_VALUE, MESURE_IEM_023_VALUE, MESURE_IEM_024_VALUE, MESURE_IEM_025_VALUE, MESURE_IEM_026_VALUE, MESURE_IEM_027_VALUE, MESURE_IEM_028_VALUE, MESURE_IEM_029_VALUE, MESURE_IEM_030_VALUE, MESURE_IEM_031_VALUE, MESURE_IEM_032_VALUE, MESURE_IEM_033_VALUE, MESURE_IEM_034_VALUE, MESURE_IEM_035_VALUE, MESURE_IEM_036_VALUE, MESURE_IEM_037_VALUE, MESURE_IEM_038_VALUE, MESURE_IEM_039_VALUE, MESURE_IEM_040_VALUE, MESURE_IEM_041_VALUE, MVM_PRSCRPTN_CN, MESURE_IEM_042_VALUE, MESURE_IEM_043_VALUE, MESURE_IEM_044_VALUE, MESURE_IEM_050_VALUE, MESURE_IEM_051_VALUE, MESURE_IEM_052_VALUE  

2. 데이터 타입

VARCHAR(50), INT, VARCHAR(50), VARCHAR(20), VARCHAR(20), INT, VARCHAR(20), VARCHAR(20), VARCHAR(8), VARCHAR(1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), INT, INT, DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 2), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 3), DECIMAL(5 1), TEXT, DECIMAL(5 2), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1), DECIMAL(5 1)  

3. 설명 

회원 일련번호 식별값 (AAHTTMunU/...), 측정 차수/일련번호 (1),지역, 연령대 구분명 (어르신 성인 등), 측정 장소 구분명 (일반 출장 등), 측정 나이 (72), 입력 구분명 (측정기기 수기 등), 체력인증 등급명 (3등급 참가상 등), 측정 일자 (20220103), 성별 코드 (M: 남성 F: 여성), 신장(cm) (163.2), 체중(kg) (68.8), 체지방률(%) (25.3), 허리둘레(cm) (85.0), 이완기 혈압(mmHg) (76), 수축기 혈압(mmHg) (96), 악력_좌(kg) (28.5), 악력_우(kg) (30.1), 윗몸말아올리기(회) (15), 반복점프(회) (20), 앉아윗몸앞으로굽히기(cm) (41.3), 일리노이(초) (18.2), 체공시간(초) (0.45), 협응력시간(초) (12.3), 협응력실수횟수(회) (2), 협응력계산결과값(초) (10.3), BMI(kg/㎡) (23.4), 교차윗몸일으키기(회) (25.8), 왕복오래달리기(회) (36), 10M 4회 왕복달리기(초) (17.35), 제자리 멀리뛰기(cm) (160.0), 의자에앉았다일어서기(회) (18), 6분걷기(m) (550), 2분제자리걷기(회) (90), 의자에앉아 3M표적 돌아오기(초) (6.2), 8자보행(초) (15.4), 상대악력(%) (43.7), 피부두겹합 (22.1), 왕복오래달리기출력(VO₂max) (35.2), 트레드밀_안정시(bpm) (72), 트레드밀_3분(bpm) (110), 트레드밀_6분(bpm) (130), 트레드밀_9분(bpm) (145), 트레드밀_계산(VO₂max) (38.5), 스텝검사_회복시 심박수(bpm) (95), 스텝검사출력(VO₂max) (36.8), 허벅지_좌(cm) (50.2), 허벅지_우(cm) (50.5), 반응시간(초) (0.245), 성인체공시간(초) (0.52), 운동 처방 내용 (준비운동:하지 루틴...), 허리둘레-신장비(WHtR) (0.52), 반복옆뛰기(회) (35), 눈-손 협응력(벽패스)(초) (14.2), 5m 4회 왕복달리기(초) (11.5), 3×3 버튼누르기(초) (8.4), 절대악력(kg) (58.6)

4. 항목 구분

개인식별용, , , , , , , , YYYYMMDD, , 기본신체, 기본신체, 기본신체, 기본신체, 심혈관, 심혈관, 근력, 근력, 근지구력, 순발력, 유연성, 민첩성, 순발력, 협응력, 협응력, 협응력, 기본신체, 근지구력, 심폐지구력, 민첩성, 순발력, 근지구력, 심폐지구력, 심폐지구력, 평형성, 평형성, 근력, 기본신체, 심폐지구력, 심혈관, 심혈관, 심혈관, 심혈관, 심폐지구력, 심혈관, 심폐지구력, 기본신체, 기본신체, 민첩성, 순발력, 처방정보, 기본신체, 순발력, 협응력, 민첩성, 협응력, 근력
